idaction;ID_SituD;ID_Dommage;ID_Mesure;Unité;Service;Site;Numéro;Risque;Situation dangereuse;Dommage;Statut;Responsable;Priorité finale;État;Mesure;Mention Spéciale;Périodicité;Prochain contrôle;N_pdf;Retour d'action
13;1;3;3;.GESTIONNAIRE SITE;SERVICE(S) DIRM hébergé(s);Mrs-Site DDTM13-SERVICES DIRM hébergés (Dir./SG/MICO/Dir.SPB/SRC/SEF/SSGM/CSN Paca Corse);1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A planifier;Gestionnaire site et responsables des services;P2;A proposer;"1. Mise en œuvre et suivi des recommandations du diagnostiqueur (exemple : surveillance de l’état de dégradation des MCA détectés, recherche de la cause de la dégradation, mesures d’empoussièrement, mesures correctives...).
2. Contrôle périodique d’évaluation de l’état de dégradation des matériaux/produits amiantés identifiés à réaliser (par un opérateur certifié recommandé tous les 36 mois),
3. Communication du DTA du site à tout prestataire/intervenant (prévu par le plan de prévention en cas de co-activité),
4. Identifier (par une signalétique à poser) les MCA afin d’éviter toute intervention par inadvertance (Cf. mesure existante),
5. Réaliser un repérage avant travaux (obligatoire cf.arrêté du 16 juillet 2019) afin de rechercher la présence d’amiante dans le bâti, préalablement à toute opération comportant des risques d’exposition des travailleurs.
6. Renseigner les derniers éléments dans la fiche sécurité du DUERP du site et les communiquer au CP.
7. Documents individuels de traçabilité amiante à renseigner pour les travailleurs potentiellement exposés.";;36 mois;07/10/2022;75;JES 11/12/2024: Demande du DTA du bâtiment
16;1;3;3;.GESTIONNAIRE SITE;SERVICE(S) DIRM hébergé(s);Ajaccio-(annexe COB)-Délég.DIRM Corse/SEF/Aff.éco/CSN hébergés;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A planifier;Gestionnaire site et responsables des services;P2;A proposer;"1. Mise en œuvre et suivi des recommandations du diagnostiqueur (exemple : surveillance de l’état de dégradation des MCA détectés, recherche de la cause de la dégradation, mesures d’empoussièrement, mesures correctives...).
2. Contrôle périodique d’évaluation de l’état de dégradation des matériaux/produits amiantés identifiés à réaliser (par un opérateur certifié recommandé tous les 36 mois),
3. Communication du DTA du site à tout prestataire/intervenant (prévu par le plan de prévention en cas de co-activité),
4. Identifier (par une signalétique à poser) les MCA afin d’éviter toute intervention par inadvertance (Cf. mesure existante),
5. Réaliser un repérage avant travaux (obligatoire cf.arrêté du 16 juillet 2019) afin de rechercher la présence d’amiante dans le bâti, préalablement à toute opération comportant des risques d’exposition des travailleurs.
6. Renseigner les derniers éléments dans la fiche sécurité du DUERP du site et les communiquer au CP.
7. Documents individuels de traçabilité amiante à renseigner pour les travailleurs potentiellement exposés.";;36 mois;03/12/2023;64;
17;1;3;8;.GESTIONNAIRE SITE;SERVICE(S) DIRM hébergé(s);Ajaccio-(annexe COB)-Délég.DIRM Corse/SEF/Aff.éco/CSN hébergés;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;En cours;Gestionnaire site et responsables des services;P3;Existante;"1. Réalisation d’un repérage des Matériaux et produits pouvant contenir de l’amiante (MPCA) du site.
2. Communication du repérage au CP (voir document attaché) pour actualiser le tableau de synthèse mis en ligne sur l’intranet (dont le but est de : faciliter la consultation de l’historique par site et permettre l’identification des matériaux/produits contenants de l’amiante et donc éviter toute intervention malencontreuse dessus ou à proximité).
3. Consigne reçue: Les interventions et/ou retraits de produits ou matériaux contenants de l’amiante (friable et non friable) sont non autorisés en régie (code du travail SS3 et SS4).

NB : L’évaluation de l’état de dégradation par un opérateur certifié des matériaux/produits amiantés identifiés est recommandée tous les 36 mois..";;36 mois;03/12/2023;64;
22;1;3;60;.GESTIONNAIRE SITE;SERVICE(S) DIRM hébergé(s);Sète-Site DDTM 34/DML-Aff.éco/SEF hébergés;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A contrôler;Gestionnaire site et responsables des services;P2;Existante;Aucuns éléments de diagnostics relatifs à l’absence ou la présence d’amiante (Dossier Technique Amiante, repérages..) dans le bâti communiqué au CP à ce jour.;;36 mois;13/12/2009;;
23;1;3;5;.GESTIONNAIRE SITE;SERVICE(S) DIRM hébergé(s);Sète-Site DDTM 34/DML-Aff.éco/SEF hébergés;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A planifier;Gestionnaire site et responsables des services;P2;A proposer;"1. Une demande de copie du Dossier Technique Amiante à jour du bâtiment doit être faite auprès du propriétaire/gestionnaire où le personnel est hébergé.
2. Communication du DTA du site à tout prestataire/intervenant (prévu par le plan de prévention en cas de co-activité),
3. En cas de présence avérée d’amiante, des consignes sont à communiquer au personnel : Les interventions et/ou retraits de produits ou matériaux contenants de l’amiante (friable et non friable) sont non autorisés en régie (code du travail SS3 et SS4).
4. En cas de présence avérée d’amiante : Identifier (par une signalétique à poser) les MCA afin d’éviter toute intervention par inadvertance
5. Réaliser un repérage avant travaux (obligatoire cf.arrêté du 16 juillet 2019) afin de rechercher la présence d’amiante dans le bâti, préalablement à toute opération comportant des risques d’exposition des travailleurs.

NB :Le repérage des matériaux et produits pouvant contenir de l’amiante est obligatoire pour les bâtiments dont le permis de construire a été délivré avant le 1er juillet 1997, afin d’évaluer leur état de conservation et d’estimer si des fibres sont susceptibles ou non d’être libérées dans l’air ambiant).";;6 mois;13/06/2007;;
25;1;3;60;.GESTIONNAIRE SITE;SERVICE(S) DIRM hébergé(s);Bastia-Site DDTM 2B-CSN/SEF/SSGM hébergés;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A contrôler;Gestionnaire site et responsables des services;P2;Existante;Aucuns éléments de diagnostics relatifs à l’absence ou la présence d’amiante (Dossier Technique Amiante, repérages..) dans le bâti communiqué au CP à ce jour.;;6 mois;09/05/2023;;
26;1;3;5;.GESTIONNAIRE SITE;SERVICE(S) DIRM hébergé(s);Bastia-Site DDTM 2B-CSN/SEF/SSGM hébergés;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A planifier;Gestionnaire site et responsables des services;P2;A proposer;"1. Une demande de copie du Dossier Technique Amiante à jour du bâtiment doit être faite auprès du propriétaire/gestionnaire où le personnel est hébergé.
2. Communication du DTA du site à tout prestataire/intervenant (prévu par le plan de prévention en cas de co-activité),
3. En cas de présence avérée d’amiante, des consignes sont à communiquer au personnel : Les interventions et/ou retraits de produits ou matériaux contenants de l’amiante (friable et non friable) sont non autorisés en régie (code du travail SS3 et SS4).
4. En cas de présence avérée d’amiante : Identifier (par une signalétique à poser) les MCA afin d’éviter toute intervention par inadvertance
5. Réaliser un repérage avant travaux (obligatoire cf.arrêté du 16 juillet 2019) afin de rechercher la présence d’amiante dans le bâti, préalablement à toute opération comportant des risques d’exposition des travailleurs.

NB :Le repérage des matériaux et produits pouvant contenir de l’amiante est obligatoire pour les bâtiments dont le permis de construire a été délivré avant le 1er juillet 1997, afin d’évaluer leur état de conservation et d’estimer si des fibres sont susceptibles ou non d’être libérées dans l’air ambiant).";;6 mois;09/05/2023;;
27;1;3;60;.GESTIONNAIRE SITE;SERVICE(S) DIRM hébergé(s);Nice-Site DDTM 06-SEF/SSGM hébergés;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A contrôler;Gestionnaire site et responsables des services;P2;Existante;Aucuns éléments de diagnostics relatifs à l’absence ou la présence d’amiante (Dossier Technique Amiante, repérages..) dans le bâti communiqué au CP à ce jour.;;6 mois;09/05/2023;;
28;1;3;5;.GESTIONNAIRE SITE;SERVICE(S) DIRM hébergé(s);Nice-Site DDTM 06-SEF/SSGM hébergés;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A planifier;Gestionnaire site et responsables des services;P2;A proposer;"1. Une demande de copie du Dossier Technique Amiante à jour du bâtiment doit être faite auprès du propriétaire/gestionnaire où le personnel est hébergé.
2. Communication du DTA du site à tout prestataire/intervenant (prévu par le plan de prévention en cas de co-activité),
3. En cas de présence avérée d’amiante, des consignes sont à communiquer au personnel : Les interventions et/ou retraits de produits ou matériaux contenants de l’amiante (friable et non friable) sont non autorisés en régie (code du travail SS3 et SS4).
4. En cas de présence avérée d’amiante : Identifier (par une signalétique à poser) les MCA afin d’éviter toute intervention par inadvertance
5. Réaliser un repérage avant travaux (obligatoire cf.arrêté du 16 juillet 2019) afin de rechercher la présence d’amiante dans le bâti, préalablement à toute opération comportant des risques d’exposition des travailleurs.

NB :Le repérage des matériaux et produits pouvant contenir de l’amiante est obligatoire pour les bâtiments dont le permis de construire a été délivré avant le 1er juillet 1997, afin d’évaluer leur état de conservation et d’estimer si des fibres sont susceptibles ou non d’être libérées dans l’air ambiant).";;6 mois;09/05/2023;;
29;1;3;8;.GESTIONNAIRE SITE;SERVICE(S) DIRM hébergé(s);Toulon-Site DDTM 83-SPB/CSN/SEF/SSGM hébergés;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A contrôler;Gestionnaire site et responsables des services;P2;Existante;"1. Réalisation d’un repérage des Matériaux et produits pouvant contenir de l’amiante (MPCA) du site.
2. Communication du repérage au CP (voir document attaché) pour actualiser le tableau de synthèse mis en ligne sur l’intranet (dont le but est de : faciliter la consultation de l’historique par site et permettre l’identification des matériaux/produits contenants de l’amiante et donc éviter toute intervention malencontreuse dessus ou à proximité).
3. Consigne reçue: Les interventions et/ou retraits de produits ou matériaux contenants de l’amiante (friable et non friable) sont non autorisés en régie (code du travail SS3 et SS4).

NB : L’évaluation de l’état de dégradation par un opérateur certifié des matériaux/produits amiantés identifiés est recommandée tous les 36 mois..";;36 mois;03/01/2016;76;
30;1;3;3;.GESTIONNAIRE SITE;SERVICE(S) DIRM hébergé(s);Toulon-Site DDTM 83-SPB/CSN/SEF/SSGM hébergés;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A planifier;Gestionnaire site et responsables des services;P3;A proposer;"1. Mise en œuvre et suivi des recommandations du diagnostiqueur (exemple : surveillance de l’état de dégradation des MCA détectés, recherche de la cause de la dégradation, mesures d’empoussièrement, mesures correctives...).
2. Contrôle périodique d’évaluation de l’état de dégradation des matériaux/produits amiantés identifiés à réaliser (par un opérateur certifié recommandé tous les 36 mois),
3. Communication du DTA du site à tout prestataire/intervenant (prévu par le plan de prévention en cas de co-activité),
4. Identifier (par une signalétique à poser) les MCA afin d’éviter toute intervention par inadvertance (Cf. mesure existante),
5. Réaliser un repérage avant travaux (obligatoire cf.arrêté du 16 juillet 2019) afin de rechercher la présence d’amiante dans le bâti, préalablement à toute opération comportant des risques d’exposition des travailleurs.
6. Renseigner les derniers éléments dans la fiche sécurité du DUERP du site et les communiquer au CP.
7. Documents individuels de traçabilité amiante à renseigner pour les travailleurs potentiellement exposés.";;36 mois;03/01/2016;76;
31;1;3;1;2. SPB;COB Marseille - sites Dépt.13;COB Marseille;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A planifier;Maxime SUROY;P2;Existante;"1. Réalisation de repérages des MPCA puis constitution des dossiers techniques amiante (DTA = synthèse des diagnostics et actions) par site.
2. Mise en œuvre et suivi des recommandations du diagnostiqueur (exemple : surveillance de l’état de dégradation des MCA détectés, recherche de la cause de la dégradation, mesures d’empoussièrement, mesures correctives...).
3. Communication des derniers éléments relatifs à l’amiante (exemple : repérages, mise à jour DTA/fiches récapitulatives, plan de retrait, R.A.T..) au CP pour actualiser le tableau de synthèse mis en ligne sur l’intranet (dont le but est de : faciliter la consultation de l’historique par site et permettre l’identification des matériaux/produits contenants de l’amiante et donc éviter toute intervention malencontreuse dessus ou à proximité).
4. Consigne reçue: Les interventions et/ou retraits de produits ou matériaux contenants de l’amiante (friable et non friable) sont non autorisés en régie (code du travail SS3 et SS4).

NB : L’évaluation de l’état de dégradation par un opérateur certifié des matériaux/produits amiantés identifiés est recommandée tous les 36 mois.";;36 mois;23/08/2021;54;
32;1;3;3;2. SPB;COB Marseille - sites Dépt.13;COB Marseille;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A planifier;Maxime SUROY;P2;A proposer;"1. Mise en œuvre et suivi des recommandations du diagnostiqueur (exemple : surveillance de l’état de dégradation des MCA détectés, recherche de la cause de la dégradation, mesures d’empoussièrement, mesures correctives...).
2. Contrôle périodique d’évaluation de l’état de dégradation des matériaux/produits amiantés identifiés à réaliser (par un opérateur certifié recommandé tous les 36 mois),
3. Communication du DTA du site à tout prestataire/intervenant (prévu par le plan de prévention en cas de co-activité),
4. Identifier (par une signalétique à poser) les MCA afin d’éviter toute intervention par inadvertance (Cf. mesure existante),
5. Réaliser un repérage avant travaux (obligatoire cf.arrêté du 16 juillet 2019) afin de rechercher la présence d’amiante dans le bâti, préalablement à toute opération comportant des risques d’exposition des travailleurs.
6. Renseigner les derniers éléments dans la fiche sécurité du DUERP du site et les communiquer au CP.
7. Documents individuels de traçabilité amiante à renseigner pour les travailleurs potentiellement exposés.";;36 mois;23/08/2021;54;
33;1;3;1;2. SPB;COB Sète - sites Dépts.34-30-11-66;COB Sète;1;Risque Amiante;"Inhalation accidentelle de fibres d’amiante en suspension dans l’atmosphère due : 
- à la présence de matériaux et produits contenant de l’amiante (MPCA) friables ou très dégradés dans les locaux de travail non diagnostiqués,
- à l’intervention malencontreuse d’un tiers sur des MPCA (manque d’identification ou d’information).";Pathologies liées à l’amiante (asbestose, cancer du poumon, mésothéliome.), plaques pleurales.;A planifier;Jennifer LETELLIER;P3;Existante;"1. Réalisation de repérages des MPCA puis constitution des dossiers techniques amiante (DTA = synthèse des diagnostics et actions) par site.
2. Mise en œuvre et suivi des recommandations du diagnostiqueur (exemple : surveillance de l’état de dégradation des MCA détectés, recherche de la cause de la dégradation, mesures d’empoussièrement, mesures correctives...).
3. Communication des derniers éléments relatifs à l’amiante (exemple : repérages, mise à jour DTA/fiches récapitulatives, plan de retrait, R.A.T..) au CP pour actualiser le tableau de synthèse mis en ligne sur l’intranet (dont le but est de : faciliter la consultation de l’historique par site et permettre l’identification des matériaux/produits contenants de l’amiante et donc éviter toute intervention malencontreuse dessus ou à proximité).
4. Consigne reçue: Les interventions et/ou retraits de produits ou matériaux contenants de l’amiante (friable et non friable) sont non autorisés en régie (code du travail SS3 et SS4).

NB : L’évaluation de l’état de dégradation par un opérateur certifié des matériaux/produits amiantés identifiés est recommandée tous les 36 mois.";;36 mois;03/10/2019;59;
